wall_s,phase,cmd_thrust,cmd_roll,cmd_pitch,cmd_yaw,gyro_x,gyro_y,gyro_z,acc_z
1784786915.0463,arm_neutral,0.27,0,0,0,-1.0573003237368539e-05,6.29541464149952e-05,5.097717803437263e-09,-10.05312442779541
1784786915.0667,arm_neutral,0.27,0,0,0,-9.039413271239027e-06,5.5877411796245724e-05,3.961758920922875e-09,-10.050619125366211
1784786915.0874,arm_neutral,0.27,0,0,0,-8.531977073289454e-06,5.2368057367857546e-05,3.4915501601062715e-09,-10.049376487731934
1784786915.1076,baseline,0.27,0,0,0,-7.886468665674329e-06,4.784461634699255e-05,2.8867361834272742e-09,-10.047553062438965
1784786915.1279,baseline,0.27,0,0,0,-7.047430699458346e-06,4.36225782323163e-05,2.384695108048618e-09,-10.044821739196777
1784786915.1481,baseline,0.27,0,0,0,-6.648719136137515e-06,3.954156272811815e-05,1.971329766092822e-09,-10.0439453125
1784786915.1684,baseline,0.27,0,0,0,-5.918604074395262e-06,3.626839315984398e-05,1.6307240002788603e-09,-10.042149543762207
1784786915.1887,baseline,0.27,0,0,0,-5.309935659170151e-06,3.2304731576005e-05,1.2655618775170296e-09,-10.039788246154785
1784786915.2089,baseline,0.27,0,0,0,-5.105885065859184e-06,3.021195334440563e-05,1.1154952517244965e-09,-10.0386381149292
1784786915.2291,baseline,0.27,0,0,0,-4.381381586426869e-06,2.763510201475583e-05,9.208633855450898e-10,-10.036916732788086
1784786915.2494,baseline,0.27,0,0,0,-4.2328101699240506e-06,2.5904346330207773e-05,8.11269273981452e-10,-10.035762786865234
1784786915.2696,baseline,0.27,0,0,0,-3.857583578792401e-06,2.3045875423122197e-05,6.298250809777528e-10,-10.033799171447754
1784786915.2899,baseline,0.27,0,0,0,-3.4807962947525084e-06,2.1106330677866936e-05,5.204583430895582e-10,-10.031831741333008
1784786915.3101,baseline,0.27,0,0,0,-3.0943901947466657e-06,2.0003848476335406e-05,4.5929482439532876e-10,-10.030726432800293
1784786915.3305,baseline,0.27,0,0,0,-2.5825793272815645e-06,1.755624180077575e-05,3.5652192309498787e-10,-10.028494834899902
1784786915.3508,baseline,0.27,0,0,0,-2.5593044483684935e-06,1.6578585928073153e-05,3.1400304578710347e-10,-10.027403831481934
1784786915.3712,baseline,0.27,0,0,0,-2.4270566427730955e-06,1.5005082786956336e-05,2.5988811103161424e-10,-10.026945114135742
1784786915.3915,baseline,0.27,0,0,0,-2.2962067305343226e-06,1.3523836969397962e-05,2.014530764427036e-10,-10.02511978149414
1784786915.4122,baseline,0.27,0,0,0,-2.122470505128149e-06,1.2596323358593509e-05,1.7757884052116424e-10,-10.022522926330566
1784786915.4326,baseline,0.27,0,0,0,-2.0164752640994266e-06,1.1642217941698618e-05,1.468833943363279e-10,-10.020918846130371
1784786915.4528,baseline,0.27,0,0,0,-1.7203128663823009e-06,1.0879793990170583e-05,1.2937562132719904e-10,-10.019835472106934
1784786915.4731,baseline,0.27,0,0,0,-1.6609392332611606e-06,9.505901289230678e-06,1.0027179087046534e-10,-10.017736434936523
1784786915.4934,baseline,0.27,0,0,0,-1.5639989214832895e-06,8.603117748862132e-06,8.29913915367797e-11,-10.016155242919922
1784786915.5136,baseline,0.27,0,0,0,-1.3760918591287918e-06,8.014678314793855e-06,6.889422365929931e-11,-10.014593124389648
1784786915.5338,baseline,0.27,0,0,0,-1.0730300346040167e-06,7.292474037967622e-06,5.6843418860808015e-11,-10.013049125671387
1784786915.5543,baseline,0.27,0,0,0,-9.435225365450606e-07,6.789366125303786e-06,5.0249582272954285e-11,-10.012004852294922
1784786915.5748,baseline,0.27,0,0,0,-8.617557796242181e-07,6.012604444549652e-06,3.89945853385143e-11,-10.009939193725586
1784786915.5950,baseline,0.27,0,0,0,-1.0884787116083317e-06,5.476089881994994e-06,3.1946001399774104e-11,-10.008367538452148
1784786915.6152,baseline,0.27,0,0,0,-1.0619592103466857e-06,5.14430621478823e-06,2.8194335754960775e-11,-10.008548736572266
1784786915.6355,baseline,0.27,0,0,0,-7.48814272810705e-07,4.488659669732442e-06,2.1998403099132702e-11,-10.005094528198242
1784786915.6558,baseline,0.27,0,0,0,-5.503288775798865e-07,4.067399459017906e-06,1.949729266925715e-11,-10.004274368286133
1784786915.6771,baseline,0.27,0,0,0,-6.769405445083976e-07,4.014665591967059e-06,1.602984411874786e-11,-9.929427146911621
1784786915.6973,baseline,0.27,0,0,0,-5.397550921770744e-07,3.697742613439914e-06,1.2448708730516955e-11,-10.000614166259766
1784786915.7175,baseline,0.27,0,0,0,-5.63474031878286e-07,3.5159423532604706e-06,1.0913936421275139e-11,-9.999627113342285
1784786915.7377,baseline,0.27,0,0,0,-6.821853730798466e-07,3.1261786261893576e-06,9.379164112033322e-12,-9.998588562011719
1784786915.7580,baseline,0.27,0,0,0,-4.735911716124974e-07,2.2648205231234897e-06,7.275957614183426e-12,-9.996543884277344
