epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,222.496,1.05319,0.58383,0.21335,0.54816,0.94248,0.87957,0.78231,0.87654,0.50727,0.92304,0.85714,0.95338,0.82677,1.25974,0.54537,0.11539,0.58352,0.99813,0.0011552,0.0011552,0.0011552
66,225.711,1.06465,0.55664,0.21036,0.54932,0.95861,0.91564,0.78231,0.88324,0.5111,0.89811,0.89796,0.9459,0.8436,1.27672,0.51605,0.11888,0.59031,0.98846,0.001142,0.001142,0.001142
67,229.59,1.06138,0.52971,0.20798,0.54508,0.95178,0.86689,0.84176,0.88717,0.50168,0.89396,0.89116,0.94892,0.82828,1.27552,0.52159,0.11218,0.59004,0.99693,0.0011288,0.0011288,0.0011288
68,233.085,1.06673,0.52774,0.21151,0.54581,0.95996,0.85974,0.83396,0.90019,0.5189,0.90518,0.88435,0.95102,0.83609,1.27608,0.52767,0.11149,0.58775,0.99414,0.0011156,0.0011156,0.0011156
69,236.589,1.07007,0.53367,0.19273,0.54848,0.95298,0.83229,0.84399,0.89942,0.51042,0.8742,0.88435,0.94446,0.82496,1.24753,0.56591,0.11185,0.59236,0.99307,0.0011024,0.0011024,0.0011024
70,239.817,1.06009,0.5026,0.20862,0.53252,0.95206,0.86988,0.86411,0.91819,0.51647,0.89423,0.88435,0.94815,0.83613,1.27048,0.53851,0.10549,0.58591,1.00146,0.0010892,0.0010892,0.0010892
71,243.072,1.08438,0.5263,0.20793,0.53979,0.97271,0.88069,0.80346,0.87876,0.49554,0.87998,0.89781,0.94766,0.82648,1.27119,0.55058,0.11414,0.59854,1.0004,0.001076,0.001076,0.001076
72,246.527,1.06574,0.52029,0.21114,0.55883,0.97756,0.84418,0.87755,0.90745,0.49367,0.89244,0.91156,0.95576,0.83022,1.27256,0.55168,0.11503,0.5899,0.99576,0.0010628,0.0010628,0.0010628
73,249.808,1.0471,0.53909,0.18764,0.5474,0.95206,0.82042,0.83913,0.88271,0.50753,0.89343,0.91156,0.95516,0.83137,1.22821,0.55589,0.10856,0.57809,0.98466,0.0010496,0.0010496,0.0010496
74,253.013,1.08337,0.53667,0.19909,0.54379,0.95453,0.84585,0.85856,0.89014,0.5058,0.9053,0.91837,0.9499,0.82375,1.27471,0.60373,0.11695,0.57512,1.00074,0.0010364,0.0010364,0.0010364
