Waiting for heartbeat...
Connected to system: 1
Setting up MAVLink rx...
Setting up Timesync loop...
Setting up VIO state estimator...
Loading YOLO gate model...
YOLO gate model ready.
Setting up planner...
Logging run to logs/run_1785189749.jsonl (and logs/latest.jsonl, truncated each run)
Listening for camera frames...
Priming attitude-hold stream...
[vio] anchored gate 0 at (+10.5,+0.1,-1.6) yaw=+0deg
Sim mode map: ['ACRO', 'ALT_HOLD', 'AUTO', 'AUTOROTATE', 'AUTOTUNE', 'AUTO_RTL', 'AVOID_ADSB', 'BRAKE', 'CIRCLE', 'DRIFT', 'FLIP', 'FLOWHOLD', 'FOLLOW', 'GUIDED', 'GUIDED_NOGPS', 'LAND', 'LOITER', 'OF_LOITER', 'POSHOLD', 'POSITION', 'RTL', 'SMART_RTL', 'SPORT', 'STABILIZE', 'SYSTEMID', 'THROW', 'ZIGZAG']
Requested control mode: STABILIZE
Arming drone...
Starting control loop... (DRY_RUN=False)
[FLY] src=     pnp_coast range=  ?   vel_ned=(-0.52,-0.85,+0.10) att=(r+0.17,p-0.24,y-2.12) thr=0.35
[FLY] src=     pnp_coast range=  ?   vel_ned=(-0.52,-0.85,+0.10) att=(r+0.13,p-0.23,y-2.12) thr=0.35
[FLY] src=     pnp_coast range=  ?   vel_ned=(-0.52,-0.85,+0.10) att=(r+0.19,p-0.23,y-2.12) thr=0.35
[vio] gate 0 anchor rejected 21 fixes in a row — re-anchoring
[vio] anchored gate 0 at (-18.3,-28.7,+102.4) yaw=-154deg
[FLY] src=     pnp_coast range=  ?   vel_ned=(-0.52,-0.85,+0.10) att=(r+0.19,p-0.23,y-2.12) thr=0.35
[FLY] src=     pnp_coast range=  ?   vel_ned=(-0.52,-0.85,+0.10) att=(r+0.19,p-0.24,y-2.12) thr=0.35
[FLY] src=     pnp_coast range=  ?   vel_ned=(-0.52,-0.85,+0.10) att=(r+0.19,p-0.24,y-2.12) thr=0.35
[FLY] src=    pnp_search range=  ?   vel_ned=(+0.00,+0.00,+0.00) att=(r+0.00,p-0.00,y-2.04) thr=0.37
[FLY] src=     pnp_coast range=  ?   vel_ned=(-0.11,-0.99,+0.10) att=(r+0.25,p-0.06,y-1.68) thr=0.34
[vio] gate 0 anchor rejected 12 fixes in a row — re-anchoring
[vio] anchored gate 0 at (+21.5,-30.3,+72.2) yaw=-125deg
[FLY] src=     pnp_coast range=  ?   vel_ned=(-0.11,-0.99,+0.10) att=(r+0.09,p-0.29,y-1.68) thr=0.34
[FLY] src=     pnp_coast range=  ?   vel_ned=(-0.11,-0.99,+0.10) att=(r+0.05,p-0.30,y-1.68) thr=0.34
[FLY] src=     pnp_coast range=  ?   vel_ned=(-0.11,-0.99,+0.10) att=(r+0.02,p-0.30,y-1.68) thr=0.34
[FLY] src=     pnp_coast range=  ?   vel_ned=(-0.11,-0.99,+0.10) att=(r+0.01,p-0.30,y-1.68) thr=0.34
[FLY] src=     pnp_coast range=  ?   vel_ned=(-0.11,-0.99,+0.10) att=(r+0.00,p-0.30,y-1.68) thr=0.34
[FLY] src=    pnp_search range=  ?   vel_ned=(+0.00,+0.00,+0.00) att=(r+0.00,p-0.05,y-1.65) thr=0.37
